NR_SECAO,escore,votos,local
81.0,7.075074626865671,134.0,EE.PROFª ANESIA MARTINS MATOS -EF
90.0,7.062723004694835,213.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
40.0,7.04546218487395,238.0,EE DR.TEÓFILO DE ANDRADE - EF
50.0,7.039666666666666,120.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
49.0,7.032994652406417,187.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
216.0,7.011064814814815,216.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
42.0,6.996902654867257,113.0,EE DR.TEÓFILO DE ANDRADE - EF
165.0,6.9818292682926835,246.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
66.0,6.974313725490196,102.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
213.0,6.96882096069869,229.0,EMEIF PROF. GERMANO CASSIOLATO
61.0,6.967834101382488,217.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
309.0,6.963111111111111,135.0,EMEB LUIZA DE LIMA TEIXEIRA
174.0,6.952064777327935,247.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
155.0,6.950060606060606,165.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
139.0,6.9399616858237545,261.0,COLÉGIO EL SHADAI
162.0,6.9385507246376825,207.0,UNIFEOB CAMPUS MANTIQUEIRA
180.0,6.924878048780488,246.0,EMEIF PROF. GERMANO CASSIOLATO
114.0,6.921569506726458,223.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
157.0,6.91515923566879,157.0,EE MONSENHOR ANTONIO DAVID - E.F.
160.0,6.911078838174275,241.0,EMEIF PROF. GERMANO CASSIOLATO
186.0,6.898552036199096,221.0,EMEIF PROF. GERMANO CASSIOLATO
79.0,6.892079207920792,202.0,EE.PROFª ANESIA MARTINS MATOS -EF
173.0,6.876884057971015,138.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
209.0,6.86220472440945,127.0,UNIFEOB CAMPUS MANTIQUEIRA
89.0,6.859606986899563,229.0,EE DR.TEÓFILO DE ANDRADE - EF
109.0,6.853291666666666,240.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
208.0,6.853133333333335,150.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
76.0,6.838247863247863,234.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
73.0,6.831131221719457,221.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
305.0,6.808563829787235,188.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
