NR_ZONA,renda_pc_media,renda_resp_media,populacao_total,n_locais,nome_ze,escore_ver_2024,escore_pref_2024,escore_ver_2020
350,745.0009677419355,1090.9212903225805,25085.0,31,SAPOPEMBA,6.3649173912160535,5.783447232300755,5.979810283615958
328,731.8431034482759,1112.29,21060.0,29,CAMPO LIMPO,6.276012363169621,5.44732810615199,6.115845496889037
390,704.6341379310345,1068.3344827586207,20110.0,29,CANGAIBA,6.443172268627686,5.843687498442911,6.212755658154041
373,693.4303571428571,1064.5414285714285,23892.0,28,CAPAO REDONDO,6.347104967783526,5.471791558216997,6.182434856199383
405,692.2968181818183,1058.0481818181818,16968.0,22,CONJUNTO JOSE BONIFACIO,6.154738912679478,5.57444992679768,6.072401761120143
403,685.1956,1110.8347999999999,19501.0,25,JARAGUA,6.211066529675966,5.652446673578885,5.960435392191958
376,679.5564150943396,983.8581132075473,42129.0,53,BRASILANDIA,6.238772821406363,5.710952337502903,5.940032254165848
421,662.5577777777778,991.9203703703705,17643.0,27,TEOTONIO VILELA,6.246164754503968,5.645734207018333,5.7834945208810185
389,659.566,1043.3726,42773.0,50,PERUS,6.2044905703130455,5.663876407249048,6.004414752691382
371,649.8374418604652,993.9588372093024,33859.0,43,GRAJAU,6.044266945567359,5.557885337381026,5.915513764065877
372,645.18125,994.9122916666666,38769.0,48,PIRAPORINHA SAO,6.356666745598962,5.3764441433983094,6.350794624860023
375,640.6005882352941,994.0282352941177,38803.0,51,SAO MATEUS,5.905232807171842,5.491364186091028,5.758389857224837
20,577.7063888888889,817.6161111111111,25485.0,36,VALO VELHO,6.147970629255886,5.347509410917575,5.962013932222024
352,562.5159090909091,870.5659090909091,34144.0,44,ITAIM PAULISTA,6.217344495705957,5.699804405407971,6.060270841456067
353,556.1379545454546,865.3172727272727,28792.0,44,GUAIANASES,6.124717485457477,5.591809550404915,5.985827503425822
381,552.4363636363636,824.0936363636364,39054.0,55,PARELHEIROS,6.275045045387889,5.619340638532005,6.164960533966769
397,549.6619354838709,859.7493548387097,23258.0,31,JARDIM HELENA,6.185535552236683,5.686049868659014,6.066830372216721
404,511.76024390243896,798.4946341463415,28043.0,41,CIDADE TIRADENTES,5.907342538259868,5.426210120451714,5.878338528211465
