nr_zona,esq_2012,esq_2024,variacao_pct,nome_ze,indice_cultural,escore_ver_2024,escore_pref_2024,pct_superior,renda_2010,quadrante
257,33896.0,22802.0,-32.72952560774133,VILA PRUDENTE,0.0,6.449686601071193,5.866226010511719,18.86307145894025,1286.206341463415,Q2: alto sup + BAIXO índice (DISCORDANTE)
413,20120.0,20869.0,3.7226640159045727,CURSINO,0.0,6.387793738215739,5.714418479325886,17.730669498693356,1370.673,Q2: alto sup + BAIXO índice (DISCORDANTE)
327,19407.0,28073.0,44.65399082805173,NOSSA SENHORA DO O,0.0,6.238305952283918,5.721377015525427,17.233655611644448,1104.014,Q2: alto sup + BAIXO índice (DISCORDANTE)
255,31361.0,26387.0,-15.860463633174962,CASA VERDE,0.0,6.407570999567311,5.840970554440705,17.19603246090362,1143.5984615384614,Q2: alto sup + BAIXO índice (DISCORDANTE)
348,19669.0,21171.0,7.636382124154761,VILA FORMOSA,0.0,6.525847789771267,5.986088450504757,16.779827337884562,1247.0776923076924,Q2: alto sup + BAIXO índice (DISCORDANTE)
422,21481.0,19967.0,-7.048089008891578,LAUZANE PAULISTA,0.0,6.448008120445493,5.878004422360752,16.52036390012957,982.536875,Q2: alto sup + BAIXO índice (DISCORDANTE)
256,26675.0,21693.0,-18.676663542642924,TUCURUVI,0.0,6.620323605539812,5.901771699165317,15.469989732834264,1187.310243902439,Q2: alto sup + BAIXO índice (DISCORDANTE)
280,29072.0,30697.0,5.58957072096863,CAPELA DO SOCORRO,2.4390243902439024,6.187944186131654,5.702598563681665,14.05341082001643,1003.4973170731708,Q3: BAIXO sup + alto índice (raro)
392,20908.0,18983.0,-9.207002104457624,PONTE RASA,2.941176470588235,6.345694749029202,5.783731589308161,10.352164967387337,852.2376470588235,Q3: BAIXO sup + alto índice (raro)
390,21080.0,16311.0,-22.62333965844402,CANGAIBA,3.4482758620689653,6.443172268627686,5.843687498442911,8.97535746796775,704.6341379310345,Q3: BAIXO sup + alto índice (raro)
248,29965.0,27748.0,-7.398631737026531,ITAQUERA,3.125,6.241893872466888,5.690801858181293,8.47248472998539,790.4815625,Q3: BAIXO sup + alto índice (raro)
247,25720.0,24091.0,-6.333592534992224,SAO MIGUEL PAULISTA,3.8461538461538463,6.380812274308321,5.758602625219788,7.630694793715074,819.2542307692308,Q3: BAIXO sup + alto índice (raro)
372,43598.0,40210.0,-7.770998669663746,PIRAPORINHA SAO,1.818181818181818,6.356666745598962,5.376444143398309,4.38608144406153,645.18125,Q3: BAIXO sup + alto índice (raro)
349,19993.0,15684.0,-21.552543390186564,JACANA,0.0,6.5731518235898445,5.843242030221211,14.36133932738697,1028.1909677419355,Q4: baixo sup + baixo índice
347,28500.0,24963.0,-12.410526315789474,VILA MATILDE,0.0,6.441674991977429,5.847163404138357,13.152760716558085,910.9447727272728,Q4: baixo sup + baixo índice
420,20994.0,11641.0,-44.550824044965225,VILA SABRINA,0.0,6.680542696216159,5.996563962309859,11.394734895255985,856.9768965517242,Q4: baixo sup + baixo índice
417,23960.0,22965.0,-4.152754590984975,PARQUE DO CARMO,0.0,6.173581337041485,5.705728081078497,9.864563747050202,814.0057692307693,Q4: baixo sup + baixo índice
351,26510.0,18953.0,-28.50622406639004,CIDADE ADEMAR,0.0,6.343370597293937,5.718230969308133,9.735559099814084,1093.6065384615383,Q4: baixo sup + baixo índice
418,38548.0,28007.0,-27.345128151914494,PEDREIRA SAO,0.0,6.380455978712698,5.7986200564753805,9.40981118931479,781.5485714285714,Q4: baixo sup + baixo índice
328,28040.0,29370.0,4.743223965763196,CAMPO LIMPO,0.0,6.276012363169621,5.44732810615199,9.174849803169447,731.8431034482759,Q4: baixo sup + baixo índice
350,33400.0,25583.0,-23.404191616766468,SAPOPEMBA,0.0,6.3649173912160535,5.783447232300755,8.909312481097178,745.0009677419355,Q4: baixo sup + baixo índice
