sq_candidato,nome,partido,situacao,votos,receita_total,receita_2024,custo_por_voto,bloco,cargo,ano,escopo,arquetipo,eficiencia,custo_voto
250000011011,CONTE LOPES,PP,ELEITO 1T,80052,214125.56,325470.8512,4.065742907110378,DIREITA,Vereador,2016,SP_CAPITAL,Outros,245.9575095737483,4.065742907110378
250000011016,DAVID SOARES,DEM,ELEITO 1T,24892,327005.77,497048.7704,19.968213498312718,DIREITA,Vereador,2016,SP_CAPITAL,Outros,50.079592752977064,19.96821349831271
250000011018,FERNANDO HOLIDAY,DEM,ELEITO 1T,48055,59164.14,89929.4928,1.871386802621996,DIREITA,Vereador,2016,SP_CAPITAL,Outros,534.3630715995765,1.8713868026219957
250000011022,MILTON LEITE,DEM,ELEITO 1T,107957,2396056.0,3642005.12,33.73570143668312,DIREITA,Vereador,2016,SP_CAPITAL,Outros,29.64218787259695,33.73570143668312
250000011027,SANDRA TADEU,DEM,ELEITO 1T,34182,664122.47,1009466.1544,29.532097431396643,DIREITA,Vereador,2016,SP_CAPITAL,Outros,33.861462170880685,29.532097431396643
250000011622,TRIPOLI,PV,ELEITO 1T,88843,517744.57,786971.7464000001,8.858005092128812,CENTRO,Vereador,2016,SP_CAPITAL,Outros,112.8922358476172,8.858005092128812
250000011624,GILBERTO NATALINI,PV,ELEITO 1T,28006,194032.27,294929.0504,10.530923744911805,CENTRO,Vereador,2016,SP_CAPITAL,Outros,94.95843139906573,10.530923744911805
250000014868,TONINHO VESPOLI,PSOL,ELEITO 1T,16012,209725.37,318782.5624,19.90897841618786,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,50.228594310339226,19.90897841618786
250000014885,SÂMIA BOMFIM,PSOL,ELEITO 1T,12464,45004.78,68407.2656,5.488387804878049,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,182.2028682286637,5.488387804878049
250000019125,ADILSON AMADEU,PTB,ELEITO 1T,67071,230780.0,350785.6,5.2300636638785765,DIREITA,Vereador,2016,SP_CAPITAL,Outros,191.20226143832588,5.2300636638785765
250000019126,PAULO FRANGE,PTB,ELEITO 1T,29242,583665.06,887170.8912000001,30.338926585048902,DIREITA,Vereador,2016,SP_CAPITAL,Outros,32.960955200465214,30.338926585048906
250000020779,GEORGE HATO,PMDB,ELEITO 1T,26104,440827.42,670057.6784,25.66877407293901,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,38.957840259860234,25.668774072939012
250000020813,RICARDO NUNES,PMDB,ELEITO 1T,54692,757606.86,1151562.4272,21.055408966576465,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,47.493734345764004,21.055408966576465
250000020825,EDIR SALES,PSD,ELEITO 1T,39062,696302.46,1058379.7392,27.09486813783216,DIREITA,Vereador,2016,SP_CAPITAL,Outros,36.90735806179159,27.09486813783216
250000020837,POLICE NETO,PSD,ELEITO 1T,33537,370683.62,563439.1024,16.80052188329308,DIREITA,Vereador,2016,SP_CAPITAL,Familiar/Dinastia,59.521960504954826,16.80052188329308
250000020852,RODRIGO GOULART,PSD,ELEITO 1T,49364,1086525.56,1651518.8512000002,33.45593653674743,DIREITA,Vereador,2016,SP_CAPITAL,Outros,29.890061481364214,33.45593653674743
250000020854,RUTE COSTA,PSD,ELEITO 1T,33999,373085.75,567090.34,16.67961822406541,DIREITA,Vereador,2016,SP_CAPITAL,Outros,59.95341059768361,16.67961822406541
250000022073,ALESSANDRO GUEDES,PT,ELEITO 1T,26780,248417.27,377594.2504,14.099859985063478,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,70.92269008765605,14.09985998506348
250000022074,ALFREDINHO,PT,ELEITO 1T,36324,357368.57,543200.2264,14.9543064199978,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,66.87036977273247,14.954306419997799
250000022075,DONATO,PT,ELEITO 1T,32592,992219.14,1508173.0928,46.27433397152676,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,21.610251605464793,46.27433397152676
250000022076,ARSELINO TATTO,PT,ELEITO 1T,26596,196457.79,298615.8408,11.227847826740865,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,89.06426373345965,11.227847826740863
250000022081,EDUARDO SUPLICY,PT,ELEITO 1T,301446,207189.53,314928.0856,1.0447247122204308,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,957.1899547342247,1.0447247122204308
250000022084,JAIR TATTO,PT,ELEITO 1T,30989,198295.99,301409.9048,9.726351440833843,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,102.81347595581737,9.726351440833845
250000022086,JULIANA CARDOSO,PT,ELEITO 1T,34949,245580.61,373282.5272,10.680778482932274,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,93.62613423712375,10.680778482932274
250000022098,REIS,PT,ELEITO 1T,29308,347904.7,528815.144,18.043371912105908,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,55.42201340587932,18.043371912105908
250000022100,SENIVAL MOURA,PT,ELEITO 1T,45320,314777.34,478461.5568,10.557404165931157,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,94.72025360429123,10.557404165931157
250000022111,TONINHO PAIVA,PR,ELEITO 1T,35219,190638.0,289769.76,8.227654391095715,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,121.54132301452022,8.227654391095715
250000022114,CELSO JATENE,PR,ELEITO 1T,53715,492383.54,748422.9808,13.933221275249,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,71.77091214193246,13.933221275249
250000022120,ISAC FELIX,PR,ELEITO 1T,25876,336409.36,511342.2272,19.7612547225228,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,50.60407418665852,19.761254722522803
250000022124,NOEMI NONATO,PR,ELEITO 1T,32116,230268.78,350008.5456,10.89826085440279,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,91.75775964254056,10.89826085440279
250000022137,RICARDO TEIXEIRA,PROS,ELEITO 1T,28515,406268.85,617528.652,21.65627396107312,DIREITA,Vereador,2016,SP_CAPITAL,Outros,46.17599508564989,21.65627396107312
250000058381,DR. MILTON FERREIRA,PTN,ELEITO 1T,21849,142195.59,216137.2968,9.892319868186188,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Profissional,101.08852254323187,9.892319868186188
250000641025,ISAC FÉLIX,PL,ELEITO 1T,23929,538810.0,689676.8,28.821797818546536,DIREITA,Vereador,2020,SP_CAPITAL,Outros,34.69596193463373,28.821797818546536
250000641041,THAMMY MIRANDA,PL,ELEITO 1T,43321,185780.0,237798.4,5.489217700422428,DIREITA,Vereador,2020,SP_CAPITAL,Outros,182.1753216169663,5.489217700422428
250000651019,ELI CORRÊA,DEM,ELEITO 1T,32482,415309.0,531595.52,16.365849393510253,DIREITA,Vereador,2020,SP_CAPITAL,Outros,61.102847518353805,16.365849393510253
